Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
11/26/2017,8718,8720.62,8700.1,8719.91,1.31889287,11497.01672,8717.172547
11/25/2017,8199.83,8737,8114.78,8717.99,11611.66638,97628924.79,8407.830677
11/24/2017,7988.96,8340,7876,8199.19,9289.989257,75751868.75,8154.139542
11/23/2017,8214.69,8279.76,7980,7989,7811.7934,63644740.39,8147.263648
11/22/2017,8095.19,8310.89,8045.76,8214.69,8078.580801,66215711.71,8196.453479
11/21/2017,8226.14,8354.46,7770,8095.23,13686.51124,110811263.5,8096.384941
11/20/2017,8016.58,8269.99,7900,8226.17,8179.457727,66366007.81,8113.741769
11/19/2017,7775.55,8087.35,7675,8016.58,8307.777509,65332064.65,7863.964169
11/18/2017,7675,7858,7431.54,7771.03,7326.81014,56264967.21,7679.326492
11/17/2017,7846.96,7997,7528.5,7674.99,17714.36787,138124189.4,7797.29711
11/16/2017,7294,7976.79,7120.85,7846.96,19272.37148,145738327.5,7562.033954
11/15/2017,6609,7350,6609,7294,16869.89791,119171192.4,7064.132397
11/14/2017,6524.69,6750,6466.88,6609,12072.05309,79508390.54,6586.153155
11/13/2017,5870.03,6775.75,5846,6525.17,27202.28181,173971383.6,6395.470232
11/12/2017,6355.13,6488.88,5555.55,5870.37,37315.15664,225565297.5,6044.870713
11/11/2017,6588.18,6820,6218,6355.13,14942.70256,96800268.09,6478.096431
11/10/2017,7150.61,7343.18,6429.44,6588.18,26614.27605,181284361.1,6811.545831
11/9/2017,7465.06,7490,7061.2,7148,14799.26577,106985408.5,7229.102455
11/8/2017,7131.38,7888,7080.01,7450.32,24679.72055,183501327.1,7435.30814
11/7/2017,6967.64,7244.69,6945,7130.28,11634.2653,82632999.59,7102.554178
11/6/2017,7373.3,7421.39,6922.07,6967.68,19323.12876,138542391.8,7169.770149
11/5/2017,7388.79,7590,7275.16,7372.72,9218.326898,68631151.85,7445.076814
11/4/2017,7145.24,7569.9,6994,7388.83,9200.114618,66730277.42,7253.20066
11/3/2017,7030,7500,6925.22,7146.82,15999.7838,116037544.1,7252.444509
11/2/2017,6745.04,7354.1,6700,7030,26514.65119,184979262.3,6976.492392
11/1/2017,6434.24,6756.36,6340.01,6741.59,12967.22212,84891427.3,6546.616271
10/31/2017,6120,6449.78,6072.81,6434.21,13423.30855,84354477.98,6284.179318
10/30/2017,6133.01,6229.77,6024.03,6119.99,9574.643653,58637080.14,6124.204959
10/29/2017,5731.7,6316.85,5683,6137.37,16086.62569,96361934.29,5990.189374
10/28/2017,5773.03,5875.66,5646.18,5730.69,5926.297372,33993472.69,5736.038974
